DATE	CANDH	CFNAI	CFNAIDIFF	CFNAIMA3	EUANDH	KCFSI	PANDI	SOANDI	UMCSENT	USSLIND
1980-06-01	-0.01	-1.97	-0.85	-2.97	-0.75		-0.92	-0.29	58.7	
1980-07-01	0.05	-1.13	-0.69	-2.21	-0.63		-0.59	0.04	62.3	
1980-08-01	-0.01	0.44	-0.24	-0.89	0.39		0.08	-0.01	67.3	
1980-09-01	-0.02	1.32	0.17	0.21	0.23		0.67	0.44	73.7	
1980-10-01	0.13	1.52	0.59	1.09	0.37		0.68	0.34	75.0	
1980-11-01	-0.03	1.02	0.62	1.28	0.34		0.79	-0.09	76.7	
1980-12-01	0.03	0.45	0.58	0.99	0.25		0.14	0.03	64.5	
1981-01-01	0.04	-0.35	0.21	0.37	-0.04		-0.28	-0.06	71.4	
1981-02-01	-0.08	-0.64	-0.11	-0.18	-0.01		-0.46	-0.08	66.9	
1981-03-01	-0.03	-0.02	-0.22	-0.34	0.18		0.08	-0.25	66.5	
1981-04-01	-0.11	0.08	-0.05	-0.19	0.20		-0.02	0.01	72.4	
1981-05-01	-0.11	-0.09	0.11	-0.01	-0.09		0.22	-0.12	76.3	
1981-06-01	-0.05	-0.45	0.01	-0.15	-0.07		-0.22	-0.10	73.1	
1981-07-01	-0.12	0.10	-0.09	-0.15	0.14		0.11	-0.03	74.1	
1981-08-01	-0.07	-0.69	-0.35	-0.34	-0.23		-0.14	-0.25	77.2	
1981-09-01	-0.24	-1.48	-0.56	-0.69	-0.52		-0.48	-0.24	73.1	
1981-10-01	-0.26	-1.75	-0.80	-1.31	-0.56		-0.55	-0.38	70.3	
1981-11-01	-0.22	-2.01	-0.85	-1.75	-0.74		-0.77	-0.28	62.5	
1981-12-01	-0.12	-2.43	-0.86	-2.06	-0.89		-0.95	-0.47	64.3	
1982-01-01	-0.25	-2.61	-0.86	-2.35	-0.82		-1.30	-0.24	71.0	-0.79
1982-02-01	-0.05	0.77	-0.53	-1.42	-0.18		0.99	0.01	66.5	-0.53
1982-03-01	-0.19	-1.55	-0.49	-1.13	-0.61		-0.65	-0.10	62.0	-0.50
1982-04-01	-0.13	-1.67	-0.48	-0.82	-0.80		-0.53	-0.21	65.5	-0.25
1982-05-01	-0.08	-1.00	-0.69	-1.41	-0.28		-0.43	-0.21	67.5	-0.40
1982-06-01	-0.26	-1.77	-0.68	-1.48	-0.83		-0.36	-0.32	65.7	-0.74
1982-07-01	-0.02	-1.25	-0.63	-1.34	-0.71		-0.29	-0.22	65.4	-1.02
1982-08-01	-0.12	-1.63	-0.70	-1.55	-0.57		-0.57	-0.37	65.4	-0.63
1982-09-01	0.02	-1.14	-0.65	-1.34	-0.71		-0.34	-0.11	69.3	-0.18
1982-10-01	-0.03	-1.94	-0.70	-1.57	-0.83		-0.66	-0.43	73.4	0.55
1982-11-01	0.06	-1.06	-0.65	-1.38	-0.49		-0.44	-0.20	72.1	1.07
1982-12-01	-0.02	-0.79	-0.62	-1.27	-0.16		-0.45	-0.17	71.9	1.79
1983-01-01	0.00	1.51	-0.23	-0.11	0.30		0.88	0.33	70.4	1.90
1983-02-01	0.04	-0.70	-0.16	0.01	-0.24		-0.29	-0.21	74.6	2.31
1983-03-01	0.16	0.89	0.24	0.57	0.20		0.35	0.19	80.8	2.69
1983-04-01	0.04	0.99	0.27	0.39	0.40		0.55	0.00	89.1	2.92
1983-05-01	0.12	1.30	0.66	1.06	0.45		0.44	0.29	93.3	3.03
1983-06-01	0.16	1.58	0.71	1.29	0.62		0.28	0.51	92.2	3.16
1983-07-01	0.11	1.77	0.75	1.55	0.86		0.78	0.02	92.8	3.31
1983-08-01	0.04	0.36	0.65	1.24	-0.25		0.47	0.11	90.9	3.56
1983-09-01	0.09	2.67	0.67	1.60	1.40		0.87	0.31	89.9	3.21
1983-10-01	0.13	1.41	0.69	1.48	0.58		0.43	0.28	89.3	2.82
1983-11-01	0.09	1.17	0.72	1.75	0.63		0.21	0.24	91.1	2.83
1983-12-01	0.12	1.44	0.70	1.34	0.55		0.31	0.45	94.2	3.12
1984-01-01	0.16	1.94	0.74	1.52	0.70		0.91	0.16	100.1	2.91
1984-02-01	0.00	1.25	0.74	1.54	0.77		0.35	0.12	97.4	2.66
1984-03-01	0.08	0.75	0.69	1.31	0.30		0.23	0.15	101.0	2.57
1984-04-01	0.15	0.94	0.63	0.98	0.42		0.26	0.10	96.1	2.43
1984-05-01	0.11	0.92	0.65	0.87	0.48		0.10	0.23	98.1	2.28
1984-06-01	0.15	0.93	0.66	0.93	0.49		0.17	0.11	95.5	2.20
1984-07-01	-0.03	0.27	0.55	0.71	0.16		0.12	0.02	96.6	1.88
1984-08-01	0.03	0.06	0.37	0.42	0.04		-0.05	0.03	99.1	1.93
1984-09-01	0.12	0.08	0.16	0.14	0.29		-0.14	-0.18	100.9	1.91
1984-10-01	0.00	0.26	0.15	0.13	0.21		-0.02	0.07	96.3	1.91
1984-11-01	0.20	0.69	0.30	0.35	0.33		0.09	0.07	95.7	1.84
1984-12-01	0.03	0.15	0.37	0.37	0.11		0.02	-0.01	92.9	1.60
1985-01-01	0.13	-0.18	0.19	0.22	0.07		-0.31	-0.08	96.0	1.62
1985-02-01	0.07	-0.01	0.00	-0.02	0.03		-0.06	-0.05	93.7	1.57
1985-03-01	0.06	0.53	0.03	0.11	0.32		0.09	0.06	93.7	1.66
1985-04-01	0.11	-0.41	0.00	0.04	-0.07		-0.31	-0.14	94.6	1.76
1985-05-01	0.15	0.49	0.08	0.20	0.20		0.00	0.14	91.8	1.73
1985-06-01	-0.01	-0.62	-0.12	-0.18	-0.15		-0.09	-0.37	96.5	1.73
1985-07-01	0.10	-0.40	-0.13	-0.18	0.02		-0.48	-0.04	94.0	2.02
1985-08-01	0.17	0.72	-0.02	-0.10	0.16		0.12	0.27	92.4	1.97
1985-09-01	0.22	0.32	0.10	0.21	0.15		0.08	-0.12	92.1	1.92
1985-10-01	-0.13	-0.39	0.16	0.22	0.09		-0.26	-0.09	88.4	1.96
1985-11-01	0.07	0.48	0.14	0.14	0.16		0.16	0.09	90.9	1.86
1985-12-01	0.19	0.42	0.22	0.17	0.07		0.29	-0.12	93.9	1.52
1986-01-01	0.11	0.75	0.39	0.55	0.14		0.29	0.22	95.6	1.37
1986-02-01	0.04	-0.81	0.05	0.12	-0.28		-0.44	-0.13	95.9	1.34
1986-03-01	0.11	-0.25	-0.17	-0.10	0.00		-0.28	-0.08	95.1	1.38
1986-04-01	0.17	0.55	-0.16	-0.17	0.06		0.01	0.31	96.2	1.36
1986-05-01	0.14	-0.18	0.04	0.04	-0.03		0.02	-0.31	94.8	1.40
1986-06-01	0.05	-0.26	0.07	0.04	-0.17		-0.24	0.11	99.3	1.51
1986-07-01	0.13	0.55	0.06	0.04	0.25		0.16	0.01	97.7	1.57
1986-08-01	0.12	0.01	0.05	0.10	0.05		-0.06	-0.10	94.9	1.52
1986-09-01	0.33	0.68	0.20	0.41	0.14		-0.02	0.23	91.9	1.73
1986-10-01	-0.16	-0.17	0.12	0.17	0.02		0.11	-0.14	95.6	1.88
1986-11-01	0.00	0.14	0.20	0.22	0.14		0.12	-0.11	91.4	1.80
1986-12-01	0.34	1.07	0.32	0.35	0.18		0.33	0.22	89.1	2.01
1987-01-01	-0.29	-0.90	0.19	0.10	0.03		-0.25	-0.39	90.4	1.99
1987-02-01	0.32	1.81	0.41	0.66	0.31		0.60	0.58	90.2	2.19
1987-03-01	0.08	0.28	0.28	0.40	0.21		-0.04	0.03	90.8	1.92
1987-04-01	0.08	0.48	0.51	0.86	0.31		0.17	-0.08	92.8	1.93
1987-05-01	0.03	0.70	0.42	0.49	0.29		0.38	0.00	91.1	1.84
1987-06-01	0.08	0.35	0.57	0.51	0.07		0.11	0.09	91.5	2.07
1987-07-01	0.07	0.93	0.69	0.66	0.37		0.33	0.16	93.7	2.01
1987-08-01	0.12	0.48	0.64	0.59	0.21		0.34	-0.20	94.4	1.96
1987-09-01	-0.03	0.62	0.59	0.68	0.21		0.14	0.30	93.6	2.03
1987-10-01	0.00	1.23	0.53	0.78	0.40		0.76	0.08	89.3	1.89
1987-11-01	0.05	0.50	0.56	0.78	0.25		0.23	-0.03	83.1	1.95
1987-12-01	0.08	0.74	0.61	0.82	0.20		0.28	0.17	86.8	1.87
1988-01-01	0.03	-0.19	0.35	0.35	-0.02		-0.11	-0.08	90.8	1.98
1988-02-01	0.03	0.76	0.39	0.44	0.39		0.12	0.22	91.6	2.00
1988-03-01	0.12	0.54	0.34	0.37	0.14		0.07	0.21	94.6	1.95
1988-04-01	-0.04	0.50	0.55	0.60	0.31		0.28	-0.06	91.2	1.61
1988-05-01	0.06	-0.04	0.38	0.33	0.02		-0.16	0.04	94.8	1.75
1988-06-01	0.04	0.74	0.39	0.40	0.36		0.08	0.26	94.7	1.55
1988-07-01	0.02	0.06	0.25	0.25	0.14		-0.03	-0.07	93.4	1.76
1988-08-01	0.06	0.02	0.19	0.27	-0.14		0.10	0.01	97.4	2.15
1988-09-01	-0.04	0.18	0.07	0.09	0.20		-0.10	0.11	97.3	2.09
1988-10-01	0.12	0.68	0.31	0.29	0.26		0.23	0.07	94.1	1.88
1988-11-01	0.06	0.37	0.43	0.41	0.21		0.02	0.08	93.0	1.91
1988-12-01	0.07	0.81	0.56	0.62	0.22		0.20	0.32	91.9	1.77
1989-01-01	0.05	0.43	0.48	0.54	0.20		0.19	-0.01	97.9	1.53
1989-02-01	-0.06	-0.44	0.30	0.27	0.16		-0.37	-0.17	95.4	1.43
1989-03-01	-0.02	-0.14	0.07	-0.05	0.10		-0.04	-0.17	94.3	1.40
1989-04-01	0.04	0.11	-0.03	-0.15	0.00		-0.05	0.12	91.5	1.20
1989-05-01	-0.03	-0.89	-0.18	-0.31	-0.09		-0.60	-0.17	90.7	1.05
1989-06-01	-0.01	-0.25	-0.26	-0.34	-0.08		-0.04	-0.12	90.6	1.11
1989-07-01	0.02	-1.12	-0.50	-0.76	-0.10		-0.74	-0.31	92.0	1.13
1989-08-01	0.08	0.59	-0.21	-0.26	-0.13		0.32	0.31	89.6	1.15
1989-09-01	-0.06	-0.66	-0.31	-0.40	-0.10		-0.28	-0.22	95.8	0.99
1989-10-01	-0.06	-0.53	-0.22	-0.20	-0.03		-0.22	-0.22	93.9	1.00
1989-11-01	-0.01	0.24	-0.20	-0.32	0.09		0.01	0.15	90.9	0.95
1989-12-01	0.02	-0.03	-0.02	-0.11	-0.10		0.08	-0.02	90.5	1.29
1990-01-01	0.10	-0.39	0.01	-0.06	0.30		-0.41	-0.39	93.0	1.33
1990-02-01	-0.08	0.79	0.03	0.12	0.13	0.08	0.46	0.28	89.5	1.02
1990-03-01	-0.02	0.22	0.09	0.20	-0.04	-0.04	0.15	0.12	91.3	0.75
1990-04-01	-0.06	-0.93	-0.08	0.02	-0.34	0.14	-0.19	-0.34	93.9	0.77
1990-05-01	-0.08	-0.16	-0.27	-0.29	-0.17	-0.10	-0.06	0.15	90.6	0.60
1990-06-01	-0.04	-0.14	-0.36	-0.41	-0.09	-0.09	0.05	-0.05	88.3	0.16
1990-07-01	-0.06	-0.86	-0.36	-0.39	-0.40	-0.20	-0.20	-0.20	88.2	-0.11
1990-08-01	-0.10	-0.56	-0.42	-0.52	-0.46	0.12	-0.10	0.09	76.4	-0.25
1990-09-01	-0.12	-1.03	-0.57	-0.82	-0.38	0.52	-0.08	-0.45	72.8	-0.51
1990-10-01	-0.18	-1.52	-0.59	-1.04	-0.51	0.74	-0.67	-0.16	63.9	-0.50
1990-11-01	-0.10	-2.03	-0.74	-1.53	-0.70	0.72	-0.79	-0.44	66.0	-0.35
1990-12-01	-0.21	-1.37	-0.81	-1.64	-0.33	0.93	-0.56	-0.28	65.5	-0.75
1991-01-01	-0.32	-1.61	-0.80	-1.67	-0.50	0.90	-0.56	-0.23	66.8	-0.78
1991-02-01	-0.05	-1.52	-0.75	-1.50	-0.81	0.76	-0.54	-0.11	70.4	-0.30
1991-03-01	-0.03	-1.45	-0.76	-1.53	-0.55	0.21	-0.50	-0.37	87.7	0.35
1991-04-01	-0.16	-0.22	-0.54	-1.06	-0.35	0.08	-0.02	0.31	81.8	0.40
1991-05-01	-0.10	-0.31	-0.35	-0.66	-0.52	-0.11	0.26	0.04	78.3	0.95
1991-06-01	-0.11	0.12	-0.10	-0.14	-0.01	0.05	0.42	-0.18	82.1	0.82
1991-07-01	-0.06	-0.17	-0.12	-0.12	-0.28	-0.10	-0.11	0.28	82.9	0.97
1991-08-01	-0.15	-0.46	-0.23	-0.17	-0.18	-0.15	0.03	-0.16	82.0	0.78
1991-09-01	-0.11	0.38	-0.14	-0.08	-0.04	-0.23	0.44	0.09	83.0	0.66
1991-10-01	-0.16	-0.68	-0.28	-0.25	-0.30	-0.24	-0.22	0.00	78.3	0.72
1991-11-01	-0.07	-0.62	-0.35	-0.31	-0.29	-0.14	-0.16	-0.10	69.1	0.79
1991-12-01	-0.08	-1.08	-0.66	-0.79	-0.30	0.02	-0.28	-0.43	68.2	0.77
1992-01-01	0.10	-0.38	-0.58	-0.69	-0.22	0.05	-0.48	0.22	67.5	1.13
1992-02-01	-0.04	0.01	-0.35	-0.48	-0.29	-0.17	0.36	-0.03	68.8	1.13
1992-03-01	-0.06	0.56	-0.02	0.06	0.01	-0.47	0.44	0.17	76.0	1.24
1992-04-01	-0.08	0.29	0.22	0.28	0.03	-0.40	0.23	0.11	77.2	1.24
1992-05-01	-0.02	-0.11	0.24	0.25	-0.07	-0.66	0.22	-0.23	79.2	1.06
1992-06-01	-0.06	-0.10	0.08	0.03	-0.16	-0.66	-0.08	0.20	80.4	1.28
1992-07-01	-0.05	0.42	0.01	0.07	-0.11	-0.42	0.36	0.21	76.6	1.30
1992-08-01	-0.04	-0.71	-0.18	-0.13	-0.01	-0.51	-0.29	-0.37	76.1	1.45
1992-09-01	0.00	-0.08	-0.17	-0.12	-0.14	-0.44	-0.09	0.15	75.6	1.62
1992-10-01	-0.01	0.32	-0.15	-0.16	0.13	-0.17	0.25	-0.04	73.3	1.86
1992-11-01	-0.06	0.17	0.16	0.14	0.10	-0.31	0.11	0.01	85.3	1.88
1992-12-01	0.02	0.47	0.32	0.32	0.08	-0.50	0.07	0.29	91.0	2.07
1993-01-01	-0.06	0.39	0.37	0.34	0.28	-0.45	0.15	0.01	89.3	1.53
1993-02-01	-0.07	0.26	0.30	0.37	0.22	-0.56	0.08	0.03	86.6	1.57
1993-03-01	-0.15	-0.63	0.07	0.01	-0.22	-0.39	-0.14	-0.11	85.9	1.60
1993-04-01	0.05	0.33	-0.02	-0.01	0.20	-0.39	0.10	-0.02	85.6	1.81
1993-05-01	-0.01	-0.10	-0.10	-0.13	0.19	-0.48	-0.24	-0.03	80.3	1.64
1993-06-01	-0.02	-0.04	-0.02	0.07	-0.01	-0.70	-0.14	0.14	81.5	1.70
1993-07-01	0.02	0.01	-0.02	-0.04	0.17	-0.74	0.04	-0.21	77.0	1.54
1993-08-01	-0.04	0.00	0.01	-0.01	0.16	-0.84	-0.15	0.03	77.3	1.78
1993-09-01	0.03	0.47	0.23	0.16	0.12	-0.72	0.17	0.14	77.9	2.37
1993-10-01	0.00	0.51	0.34	0.33	0.19	-0.56	0.28	0.05	82.7	2.13
